experiment_id,model_version,draw_boost,favorite_dampening,underdog_boost,market_blend_weight,numerical_adjustment_weight,sample_count,hit_rate,brier,logloss,draw_brier,favorite_wrong_count,overconfident_wrong_count,upset_miss_count
E0081,exp-1.00-0.10-0.00-0.20-0.00,1.0,0.1,0.0,0.2,0.0,4,0.0000,0.5418,0.9167,0.8268,1,0,2
E0082,exp-1.00-0.10-0.00-0.20-0.25,1.0,0.1,0.0,0.2,0.25,4,0.0000,0.5418,0.9167,0.8268,1,0,2
E0083,exp-1.00-0.10-0.00-0.20-0.50,1.0,0.1,0.0,0.2,0.5,4,0.0000,0.5418,0.9167,0.8268,1,0,2
E0084,exp-1.00-0.10-0.00-0.20-1.00,1.0,0.1,0.0,0.2,1.0,4,0.0000,0.5418,0.9167,0.8268,1,0,2
E0325,exp-1.15-0.00-0.00-0.00-0.00,1.15,0.0,0.0,0.0,0.0,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0326,exp-1.15-0.00-0.00-0.00-0.25,1.15,0.0,0.0,0.0,0.25,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0327,exp-1.15-0.00-0.00-0.00-0.50,1.15,0.0,0.0,0.0,0.5,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0328,exp-1.15-0.00-0.00-0.00-1.00,1.15,0.0,0.0,0.0,1.0,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0329,exp-1.15-0.00-0.00-0.10-0.00,1.15,0.0,0.0,0.1,0.0,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0330,exp-1.15-0.00-0.00-0.10-0.25,1.15,0.0,0.0,0.1,0.25,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0331,exp-1.15-0.00-0.00-0.10-0.50,1.15,0.0,0.0,0.1,0.5,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0332,exp-1.15-0.00-0.00-0.10-1.00,1.15,0.0,0.0,0.1,1.0,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0333,exp-1.15-0.00-0.00-0.20-0.00,1.15,0.0,0.0,0.2,0.0,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0334,exp-1.15-0.00-0.00-0.20-0.25,1.15,0.0,0.0,0.2,0.25,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0335,exp-1.15-0.00-0.00-0.20-0.50,1.15,0.0,0.0,0.2,0.5,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0336,exp-1.15-0.00-0.00-0.20-1.00,1.15,0.0,0.0,0.2,1.0,4,0.0000,0.5419,0.9111,0.7652,1,0,2
E0253,exp-1.10-0.05-0.00-0.00-0.00,1.1,0.05,0.0,0.0,0.0,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0254,exp-1.10-0.05-0.00-0.00-0.25,1.1,0.05,0.0,0.0,0.25,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0255,exp-1.10-0.05-0.00-0.00-0.50,1.1,0.05,0.0,0.0,0.5,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0256,exp-1.10-0.05-0.00-0.00-1.00,1.1,0.05,0.0,0.0,1.0,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0257,exp-1.10-0.05-0.00-0.10-0.00,1.1,0.05,0.0,0.1,0.0,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0258,exp-1.10-0.05-0.00-0.10-0.25,1.1,0.05,0.0,0.1,0.25,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0259,exp-1.10-0.05-0.00-0.10-0.50,1.1,0.05,0.0,0.1,0.5,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0260,exp-1.10-0.05-0.00-0.10-1.00,1.1,0.05,0.0,0.1,1.0,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0261,exp-1.10-0.05-0.00-0.20-0.00,1.1,0.05,0.0,0.2,0.0,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0262,exp-1.10-0.05-0.00-0.20-0.25,1.1,0.05,0.0,0.2,0.25,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0263,exp-1.10-0.05-0.00-0.20-0.50,1.1,0.05,0.0,0.2,0.5,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0264,exp-1.10-0.05-0.00-0.20-1.00,1.1,0.05,0.0,0.2,1.0,4,0.0000,0.5422,0.9136,0.7819,1,0,2
E0181,exp-1.05-0.10-0.00-0.00-0.00,1.05,0.1,0.0,0.0,0.0,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0182,exp-1.05-0.10-0.00-0.00-0.25,1.05,0.1,0.0,0.0,0.25,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0183,exp-1.05-0.10-0.00-0.00-0.50,1.05,0.1,0.0,0.0,0.5,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0184,exp-1.05-0.10-0.00-0.00-1.00,1.05,0.1,0.0,0.0,1.0,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0185,exp-1.05-0.10-0.00-0.10-0.00,1.05,0.1,0.0,0.1,0.0,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0186,exp-1.05-0.10-0.00-0.10-0.25,1.05,0.1,0.0,0.1,0.25,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0187,exp-1.05-0.10-0.00-0.10-0.50,1.05,0.1,0.0,0.1,0.5,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0188,exp-1.05-0.10-0.00-0.10-1.00,1.05,0.1,0.0,0.1,1.0,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0189,exp-1.05-0.10-0.00-0.20-0.00,1.05,0.1,0.0,0.2,0.0,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0190,exp-1.05-0.10-0.00-0.20-0.25,1.05,0.1,0.0,0.2,0.25,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0191,exp-1.05-0.10-0.00-0.20-0.50,1.05,0.1,0.0,0.2,0.5,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0192,exp-1.05-0.10-0.00-0.20-1.00,1.05,0.1,0.0,0.2,1.0,4,0.0000,0.5437,0.9176,0.7980,1,0,2
E0361,exp-1.15-0.05-0.00-0.00-0.00,1.15,0.05,0.0,0.0,0.0,4,0.0000,0.5454,0.9163,0.7536,1,0,2
